proposedItemNum,desiredItemNum,proposedDate,decisionDate,status
1147,1635,2022-04-15,2022-06-07,Accepted
1148,210,2022-05-27,2022-05-31,Rejected
1149,4601,2022-05-09,2022-05-12,Rejected
1152,6321,2022-04-19,,Pending
1153,4976,2022-04-21,2022-05-12,Accepted
1155,3932,2022-04-21,2022-04-26,Rejected
1158,4112,2022-05-25,,Pending
1161,5309,2022-04-20,,Pending
1165,3155,2022-05-13,2022-06-03,Accepted
1166,521,2022-04-18,2022-04-28,Accepted
1167,6090,2022-05-27,2022-06-08,Rejected
1169,4632,2022-04-21,2022-04-26,Rejected
1173,1362,2022-04-15,2022-05-10,Accepted
1175,6620,2022-05-04,2022-05-13,Accepted
1176,3010,2022-06-14,,Pending
1177,7087,2022-04-18,2022-05-06,Accepted
1179,2650,2022-04-25,2022-05-26,Accepted
1180,3094,2022-05-20,2022-05-27,Rejected
1181,6911,2022-05-16,2022-05-26,Rejected
1184,5985,2022-05-25,2022-06-07,Accepted
1188,1845,2022-04-19,2022-05-12,Accepted
1189,2023,2022-04-28,2022-05-06,Rejected
1191,1204,2022-06-07,,Pending
1192,2756,2022-04-20,2022-04-21,Accepted
1193,2006,2022-04-15,2022-05-09,Accepted
1194,5069,2022-04-20,2022-05-04,Rejected
1196,2235,2022-06-01,2022-06-07,Accepted
1199,6251,2022-04-18,2022-04-22,Rejected
1200,5244,2022-05-05,,Pending
1203,4950,2022-04-21,,Pending
1206,4853,2022-04-15,2022-04-25,Rejected
1206,6720,2022-04-29,2022-05-09,Accepted
1208,5472,2022-05-23,,Pending
1209,692,2022-04-21,2022-04-22,Rejected
1209,2480,2022-06-08,,Pending
1210,4011,2022-04-29,2022-05-04,Rejected
1210,4910,2022-05-10,2022-06-14,Accepted
1211,7141,2022-05-17,2022-05-25,Accepted
1212,7035,2022-06-14,,Pending
1214,2396,2022-05-02,2022-05-18,Rejected
1219,4241,2022-04-27,,Pending
1221,1025,2022-06-10,,Pending
1222,6396,2022-04-15,2022-04-27,Accepted
1224,6776,2022-06-07,,Pending
1230,3699,2022-05-04,,Pending
1233,6804,2022-04-15,,Pending
1235,856,2022-04-18,2022-04-29,Accepted
1236,3962,2022-05-16,2022-06-06,Rejected
1240,1398,2022-04-25,2022-06-03,Rejected
1242,5198,2022-04-21,2022-05-20,Accepted
1243,1365,2022-04-18,2022-04-21,Accepted
1244,3393,2022-04-22,2022-06-02,Accepted
1245,3856,2022-05-06,2022-05-10,Accepted
1247,1571,2022-04-15,2022-04-22,Accepted
1254,3976,2022-05-09,2022-05-10,Accepted
1255,3091,2022-04-19,2022-04-22,Rejected
1258,612,2022-04-15,2022-04-21,Accepted
1259,2845,2022-05-12,2022-05-20,Rejected
1260,5670,2022-05-04,,Pending
1265,4810,2022-04-15,,Pending
1270,2027,2022-04-18,2022-06-02,Accepted
1273,1491,2022-04-21,2022-06-02,Accepted
1278,5205,2022-04-20,2022-06-08,Accepted
1280,3427,2022-04-21,2022-04-22,Accepted
1281,6867,2022-06-14,,Pending
1282,7061,2022-05-26,,Pending
1283,1124,2022-04-15,,Pending
1284,3841,2022-04-22,2022-04-27,Accepted
1286,6836,2022-05-13,2022-05-27,Accepted
1290,3157,2022-04-15,2022-04-29,Accepted
1291,3383,2022-04-22,2022-05-25,Rejected
1292,5822,2022-05-04,2022-06-03,Accepted
1294,6971,2022-05-17,,Pending
1295,6741,2022-05-20,2022-05-24,Accepted
1297,2850,2022-04-25,2022-06-02,Accepted
1298,110,2022-04-15,2022-05-24,Accepted
1301,2108,2022-05-06,2022-06-09,Accepted
1301,5731,2022-04-18,2022-05-03,Rejected
1302,2694,2022-04-26,2022-05-20,Accepted
1309,5865,2022-04-19,2022-05-02,Accepted
1314,6862,2022-04-22,2022-06-02,Accepted
1316,2774,2022-04-20,2022-04-21,Accepted
1317,4832,2022-05-17,2022-05-19,Rejected
1318,6664,2022-04-15,,Pending
1323,4383,2022-05-12,2022-06-09,Rejected
1325,3406,2022-04-18,,Pending
1326,2278,2022-04-15,2022-05-06,Accepted
1327,5029,2022-04-19,2022-04-20,Rejected
1332,2613,2022-04-22,2022-04-28,Accepted
1341,1741,2022-04-15,2022-04-20,Accepted
1343,1682,2022-06-14,,Pending
1343,5583,2022-05-18,2022-06-10,Rejected
1348,1632,2022-05-19,2022-05-23,Accepted
1349,3332,2022-05-05,2022-05-10,Accepted
1351,430,2022-04-15,2022-04-21,Rejected
1353,1311,2022-05-23,2022-05-30,Rejected
1354,592,2022-04-19,2022-04-20,Accepted
1357,270,2022-04-29,2022-05-04,Rejected
1357,1155,2022-05-12,2022-06-01,Rejected
1358,2832,2022-04-18,2022-04-27,Accepted
1360,260,2022-04-15,2022-04-25,Rejected
1360,1094,2022-05-05,,Pending
1370,3316,2022-04-18,2022-05-10,Accepted
1371,559,2022-04-22,,Pending
1372,2411,2022-05-03,2022-05-09,Rejected
1372,3547,2022-05-31,2022-06-10,Rejected
1373,40,2022-05-25,2022-06-14,Accepted
1374,1287,2022-05-17,2022-05-19,Accepted
1375,2431,2022-05-09,,Pending
1378,6694,2022-04-27,2022-05-24,Accepted
1379,6048,2022-04-22,2022-05-20,Accepted
1380,5417,2022-04-15,2022-05-06,Accepted
1381,5787,2022-04-20,2022-05-03,Accepted
1385,3442,2022-04-22,2022-05-04,Accepted
1386,169,2022-06-06,,Pending
1387,1541,2022-04-26,2022-05-06,Rejected
1388,492,2022-04-18,2022-05-09,Rejected
1388,4188,2022-05-12,2022-06-07,Rejected
1391,1229,2022-05-02,2022-05-31,Accepted
1393,6775,2022-04-19,2022-05-16,Accepted
1394,6632,2022-04-26,2022-05-02,Accepted
1399,1105,2022-04-27,2022-05-02,Rejected
1400,5269,2022-04-15,2022-04-19,Accepted
1402,1160,2022-05-04,2022-05-17,Accepted
1407,1154,2022-05-24,2022-05-26,Accepted
1410,2968,2022-04-21,,Pending
1413,3891,2022-05-11,2022-05-31,Accepted
1414,2822,2022-04-15,2022-04-25,Rejected
1418,3682,2022-04-20,2022-04-25,Accepted
1420,4738,2022-04-26,2022-05-02,Accepted
1421,4914,2022-05-04,2022-05-12,Accepted
1424,2093,2022-04-18,2022-04-19,Accepted
1426,332,2022-04-21,,Pending
1427,6916,2022-05-13,2022-06-02,Accepted
1429,5008,2022-04-21,2022-04-25,Rejected
1433,7226,2022-05-27,,Pending
1434,1024,2022-05-02,,Pending
1440,2785,2022-06-01,,Pending
1443,776,2022-04-19,2022-04-26,Accepted
1444,6534,2022-04-22,2022-05-11,Accepted
1445,5449,2022-04-18,2022-05-18,Accepted
1446,20,2022-05-04,2022-05-11,Accepted
1447,2803,2022-05-23,,Pending
1449,1816,2022-04-22,2022-05-06,Rejected
1450,6250,2022-04-28,2022-05-31,Accepted
1451,903,2022-04-15,2022-04-28,Rejected
1453,5351,2022-04-19,2022-04-25,Accepted
1455,2164,2022-04-15,2022-05-17,Rejected
1456,4781,2022-05-02,2022-05-03,Accepted
1457,4911,2022-05-05,2022-05-12,Rejected
1462,3802,2022-05-09,2022-05-18,Accepted
1467,1321,2022-04-15,2022-04-27,Accepted
1468,4542,2022-04-28,,Pending
1469,1185,2022-05-25,,Pending
1469,6238,2022-04-20,2022-05-17,Rejected
1472,2286,2022-05-13,2022-05-25,Rejected
1472,4719,2022-05-27,2022-05-30,Accepted
1475,1484,2022-05-17,2022-06-08,Accepted
1476,1761,2022-05-16,2022-05-23,Rejected
1477,4379,2022-04-18,2022-04-20,Accepted
1478,990,2022-04-25,2022-05-27,Accepted
1479,3829,2022-04-21,2022-04-28,Accepted
1481,3768,2022-04-29,2022-05-05,Accepted
1482,6177,2022-04-19,,Pending
1485,4765,2022-05-02,2022-05-03,Rejected
1486,1041,2022-04-15,2022-04-20,Rejected
1486,3647,2022-06-07,,Pending
1486,4985,2022-04-26,2022-05-31,Rejected
1489,6864,2022-04-25,2022-05-02,Rejected
1490,456,2022-04-15,2022-04-20,Accepted
1492,7326,2022-05-30,2022-06-10,Rejected
1493,933,2022-06-09,2022-06-14,Accepted
1493,5495,2022-05-18,2022-06-01,Rejected
1494,775,2022-04-19,2022-05-13,Rejected
1495,1096,2022-05-05,,Pending
1496,1440,2022-04-18,2022-05-03,Rejected
1497,2264,2022-05-19,,Pending
1498,4318,2022-05-05,2022-05-11,Accepted
1499,3696,2022-04-27,,Pending
1501,7370,2022-04-15,2022-05-31,Accepted
1502,845,2022-04-21,2022-04-27,Accepted
1503,3538,2022-05-12,2022-05-17,Accepted
1505,6552,2022-04-19,2022-04-25,Accepted
1507,2680,2022-05-26,2022-06-14,Rejected
1507,6317,2022-04-22,2022-05-18,Rejected
1509,1014,2022-04-25,,Pending
1510,3790,2022-06-01,,Pending
1516,4618,2022-05-03,2022-05-04,Accepted
1517,1648,2022-05-20,2022-06-10,Accepted
1518,3983,2022-04-15,2022-05-04,Accepted
1522,1828,2022-04-21,2022-04-27,Rejected
1524,707,2022-04-15,2022-06-07,Rejected
1525,1641,2022-04-22,2022-05-02,Accepted
1526,2636,2022-04-25,2022-06-01,Rejected
1531,6109,2022-04-15,2022-05-02,Rejected
1533,1996,2022-05-20,,Pending
1535,230,2022-04-18,2022-06-08,Accepted
1537,729,2022-04-26,2022-04-27,Rejected
1539,6723,2022-04-28,2022-06-01,Rejected
1541,6287,2022-05-18,2022-06-06,Accepted
1542,4607,2022-05-06,,Pending
1544,422,2022-04-22,2022-06-06,Accepted
1545,3900,2022-05-02,2022-05-24,Accepted
1547,4198,2022-04-29,2022-05-13,Rejected
1548,2537,2022-06-02,2022-06-08,Accepted
1549,3854,2022-04-15,2022-05-19,Accepted
1554,5446,2022-04-21,2022-05-09,Rejected
1556,1921,2022-04-20,2022-04-21,Rejected
1556,5905,2022-05-03,,Pending
1558,6324,2022-04-19,2022-04-22,Accepted
1560,635,2022-05-05,2022-05-16,Accepted
1561,1554,2022-05-10,2022-05-23,Accepted
1563,3072,2022-05-17,,Pending
1564,5229,2022-05-03,2022-06-01,Rejected
1564,5819,2022-06-09,,Pending
1567,3460,2022-04-18,2022-05-31,Accepted
1568,5580,2022-05-11,2022-05-17,Rejected
1569,2996,2022-05-04,2022-06-09,Accepted
1570,2789,2022-04-28,2022-05-06,Rejected
1570,5992,2022-05-12,2022-05-25,Rejected
1573,3071,2022-04-21,2022-05-02,Accepted
1574,1367,2022-06-07,,Pending
1575,2906,2022-04-20,2022-05-25,Accepted
1576,988,2022-04-15,2022-05-05,Accepted
1577,570,2022-04-18,2022-04-28,Rejected
1577,1795,2022-05-02,2022-05-06,Rejected
1579,2351,2022-04-19,2022-04-21,Accepted
1580,2702,2022-04-21,2022-05-06,Accepted
1584,67,2022-04-22,2022-05-26,Accepted
1587,3657,2022-05-06,2022-06-14,Accepted
1588,5935,2022-06-02,,Pending
1589,252,2022-04-21,2022-04-26,Accepted
1590,2608,2022-05-17,2022-05-20,Accepted
1591,5581,2022-04-19,2022-05-05,Rejected
1592,4337,2022-04-20,2022-05-30,Rejected
1592,4872,2022-06-03,,Pending
1593,3263,2022-04-18,,Pending
1594,164,2022-05-31,2022-06-08,Rejected
1595,5908,2022-04-18,,Pending
1598,7391,2022-05-16,2022-06-02,Rejected
1600,1356,2022-05-23,,Pending
1602,354,2022-04-21,2022-04-29,Accepted
1606,2674,2022-04-29,2022-05-31,Rejected
1607,4827,2022-06-13,,Pending
1612,6729,2022-04-21,2022-05-17,Accepted
1617,3534,2022-04-19,2022-05-12,Rejected
1619,3991,2022-05-25,2022-06-01,Rejected
1622,2609,2022-04-15,2022-04-26,Rejected
1623,6343,2022-05-23,,Pending
1625,3839,2022-05-27,,Pending
1626,4814,2022-04-27,2022-05-09,Accepted
1630,289,2022-04-28,2022-05-30,Rejected
1630,2883,2022-06-07,2022-06-09,Accepted
1632,754,2022-04-18,2022-05-03,Rejected
1636,5391,2022-04-25,2022-05-04,Accepted
1639,173,2022-04-28,,Pending
1640,4953,2022-04-21,2022-06-01,Accepted
1645,4166,2022-04-20,2022-04-29,Accepted
1646,417,2022-04-15,2022-04-21,Rejected
1646,6073,2022-04-21,,Pending
1647,4058,2022-04-26,2022-05-17,Accepted
1649,5082,2022-05-20,,Pending
1651,1327,2022-04-27,2022-05-26,Rejected
1654,462,2022-04-27,,Pending
1654,5718,2022-04-21,2022-04-27,Rejected
1661,3678,2022-05-16,,Pending
1662,3227,2022-04-25,,Pending
1663,851,2022-04-18,2022-05-26,Rejected
1663,1305,2022-05-26,,Pending
1665,4024,2022-05-05,,Pending
1666,7312,2022-05-11,,Pending
1669,2215,2022-04-27,2022-05-10,Rejected
1670,2117,2022-04-19,2022-05-02,Accepted
1671,378,2022-05-10,2022-05-17,Accepted
1672,6259,2022-04-18,2022-04-28,Accepted
1673,5853,2022-04-15,2022-04-26,Accepted
1675,1001,2022-04-27,2022-06-07,Rejected
1676,6611,2022-04-26,2022-05-04,Rejected
1677,5633,2022-04-21,2022-05-09,Accepted
1678,4397,2022-05-11,,Pending
1679,5974,2022-04-15,,Pending
1684,1249,2022-05-12,2022-05-26,Accepted
1686,3429,2022-04-22,2022-05-06,Accepted
1688,6231,2022-04-19,2022-05-23,Accepted
1693,4567,2022-04-15,,Pending
1694,2585,2022-04-22,2022-05-10,Rejected
1695,5916,2022-05-10,,Pending
1696,1471,2022-05-05,2022-05-23,Rejected
1698,184,2022-04-15,2022-06-06,Accepted
1702,6870,2022-05-02,2022-05-10,Rejected
1703,3653,2022-05-11,,Pending
1704,1745,2022-04-18,2022-04-21,Rejected
1705,162,2022-05-27,,Pending
1706,3562,2022-04-20,,Pending
1707,3307,2022-06-14,,Pending
1710,2719,2022-05-04,2022-05-23,Accepted
1712,2616,2022-05-03,2022-05-26,Accepted
1716,403,2022-04-19,2022-05-26,Rejected
1720,6631,2022-04-15,2022-04-21,Accepted
1722,2969,2022-05-16,2022-05-27,Rejected
1724,3326,2022-04-15,,Pending
1725,5969,2022-04-21,2022-05-16,Rejected
1728,1894,2022-05-25,2022-05-27,Accepted
1728,2514,2022-04-18,2022-04-20,Rejected
1729,2263,2022-04-15,2022-06-08,Rejected
1731,233,2022-05-12,2022-05-17,Accepted
1732,2900,2022-05-11,2022-05-25,Rejected
1733,4490,2022-04-19,2022-05-12,Accepted
1735,373,2022-06-13,,Pending
1736,1552,2022-05-03,2022-05-04,Accepted
1739,3210,2022-05-16,2022-05-18,Rejected
1744,5255,2022-04-21,2022-05-04,Accepted
1747,4587,2022-04-22,2022-04-26,Accepted
1749,2766,2022-05-10,,Pending
1750,1565,2022-04-21,2022-05-25,Accepted
1751,6212,2022-04-25,2022-06-03,Accepted
1752,2203,2022-04-18,2022-04-19,Accepted
1753,5875,2022-04-15,2022-05-09,Accepted
1754,762,2022-05-17,2022-05-23,Accepted
1755,258,2022-04-18,2022-05-26,Rejected
1755,5828,2022-05-27,2022-06-01,Accepted
1756,168,2022-04-25,2022-05-27,Rejected
1762,6540,2022-05-18,,Pending
1763,6571,2022-04-15,,Pending
1765,3516,2022-05-23,2022-05-27,Accepted
1766,3630,2022-05-05,2022-05-16,Accepted
1768,674,2022-04-20,2022-05-12,Accepted
1771,2955,2022-06-14,,Pending
1773,774,2022-04-29,2022-05-04,Rejected
1773,6920,2022-05-05,,Pending
1774,4312,2022-05-06,2022-05-19,Accepted
1775,5474,2022-05-09,2022-05-18,Accepted
1780,6923,2022-04-22,2022-05-04,Accepted
1781,6711,2022-04-15,2022-05-16,Accepted
1782,2384,2022-05-24,,Pending
1782,2959,2022-04-20,2022-05-18,Rejected
1788,7090,2022-04-20,2022-05-03,Accepted
1790,4009,2022-04-22,2022-05-13,Accepted
1791,6548,2022-04-21,2022-06-01,Accepted
1794,2306,2022-06-13,,Pending
1794,6963,2022-04-28,2022-06-13,Rejected
1796,4503,2022-05-13,2022-05-19,Rejected
1797,4031,2022-06-06,,Pending
1799,3602,2022-04-18,2022-05-04,Accepted
1802,939,2022-06-08,,Pending
1805,5925,2022-05-02,2022-05-25,Rejected
1806,7418,2022-04-22,2022-04-27,Rejected
1807,6769,2022-05-19,2022-05-23,Accepted
1808,7104,2022-04-21,2022-05-05,Accepted
1810,3346,2022-05-13,,Pending
1812,180,2022-04-26,,Pending
1813,3714,2022-04-19,2022-04-26,Rejected
1814,4524,2022-05-25,2022-06-02,Rejected
1817,3605,2022-04-21,,Pending
1819,3730,2022-05-19,,Pending
1821,676,2022-06-08,,Pending
1823,4676,2022-06-14,,Pending
1824,163,2022-05-26,,Pending
1824,5716,2022-04-15,2022-05-05,Rejected
1825,6243,2022-04-18,2022-04-27,Rejected
1826,1399,2022-05-02,2022-06-13,Rejected
1827,4522,2022-04-15,2022-04-26,Accepted
1828,7020,2022-05-26,2022-05-30,Accepted
1829,5607,2022-04-19,2022-05-18,Accepted
1831,605,2022-04-15,2022-04-28,Rejected
1839,6890,2022-04-26,2022-05-04,Accepted
1842,5002,2022-04-20,2022-05-10,Accepted
1847,1900,2022-05-30,,Pending
1848,6101,2022-05-13,,Pending
1850,4577,2022-04-29,,Pending
1851,1870,2022-04-18,2022-04-20,Rejected
1851,2334,2022-04-21,2022-04-26,Rejected
1853,5297,2022-04-22,2022-04-26,Accepted
1854,6982,2022-05-13,,Pending
1859,1048,2022-05-19,2022-05-24,Rejected
1860,688,2022-05-05,,Pending
1861,5501,2022-04-19,2022-04-21,Accepted
1868,1441,2022-05-02,2022-06-01,Accepted
1871,4735,2022-04-15,2022-05-04,Accepted
1872,7082,2022-04-18,,Pending
1873,6036,2022-04-20,2022-05-26,Rejected
1874,588,2022-05-05,2022-05-27,Rejected
1875,503,2022-04-19,2022-05-17,Accepted
1876,1757,2022-04-18,2022-05-16,Accepted
1877,2581,2022-05-05,,Pending
1878,5780,2022-04-15,2022-05-24,Accepted
1881,420,2022-04-26,2022-04-29,Rejected
1881,767,2022-05-10,2022-05-13,Accepted
1883,6523,2022-04-19,2022-05-24,Accepted
1884,4565,2022-04-18,2022-05-18,Rejected
1886,11,2022-05-30,,Pending
1887,2420,2022-04-21,2022-05-27,Accepted
1891,5707,2022-04-19,,Pending
1894,3202,2022-04-25,2022-05-06,Rejected
1896,2782,2022-04-19,2022-05-05,Rejected
1897,2838,2022-04-15,2022-05-13,Accepted
1898,5056,2022-05-23,,Pending
1900,2705,2022-04-20,2022-04-27,Rejected
1902,821,2022-06-07,2022-06-10,Rejected
1902,7142,2022-04-27,2022-05-10,Rejected
1908,300,2022-04-22,2022-05-02,Accepted
1913,6493,2022-04-18,,Pending
1914,7405,2022-04-15,2022-04-28,Accepted
1916,3295,2022-04-28,,Pending
1917,6024,2022-06-01,,Pending
1918,1975,2022-05-05,,Pending
1920,2048,2022-05-09,2022-05-10,Rejected
1920,3574,2022-05-27,2022-06-07,Rejected
1926,3772,2022-04-18,2022-06-10,Rejected
1928,6557,2022-04-15,2022-05-03,Accepted
1931,1183,2022-04-19,2022-05-31,Rejected
1935,2085,2022-04-15,2022-04-21,Rejected
1937,3242,2022-05-10,2022-05-19,Accepted
1938,6646,2022-04-15,2022-06-06,Accepted
1940,5899,2022-05-16,2022-05-27,Accepted
1941,7417,2022-06-09,,Pending
1942,593,2022-05-30,,Pending
1943,394,2022-04-29,2022-05-06,Rejected
1948,7263,2022-04-15,,Pending
1949,3819,2022-04-18,2022-04-19,Rejected
1950,4886,2022-04-20,2022-05-23,Accepted
1951,5892,2022-06-08,,Pending
1954,7091,2022-04-21,,Pending
1955,5200,2022-05-12,2022-05-16,Accepted
1958,5302,2022-04-27,2022-05-11,Accepted
1959,6807,2022-04-18,2022-05-16,Accepted
1962,3036,2022-04-25,2022-05-12,Accepted
1963,107,2022-04-15,2022-05-02,Rejected
1964,6043,2022-06-01,2022-06-06,Accepted
1967,4280,2022-04-20,2022-05-04,Rejected
1969,361,2022-05-18,2022-06-07,Rejected
1970,643,2022-04-15,2022-04-20,Rejected
1970,1879,2022-04-22,2022-05-18,Rejected
1970,6962,2022-05-25,,Pending
1971,4456,2022-04-29,2022-05-24,Accepted
1975,5785,2022-04-19,2022-04-27,Rejected
1978,736,2022-04-22,2022-05-26,Accepted
1979,1474,2022-05-02,,Pending
1982,1252,2022-04-20,2022-05-25,Rejected
1983,424,2022-04-26,2022-04-27,Accepted
1984,5812,2022-05-17,,Pending
1986,5838,2022-05-02,,Pending
1987,3594,2022-04-20,2022-04-27,Accepted
1988,2472,2022-04-18,,Pending
1989,4555,2022-04-21,2022-05-13,Accepted
1989,5585,2022-04-19,2022-04-20,Rejected
1991,5943,2022-04-28,2022-05-03,Accepted
1994,3782,2022-04-20,2022-05-11,Rejected
1997,2712,2022-04-19,,Pending
1998,3620,2022-04-26,,Pending
1999,5165,2022-06-06,,Pending
2000,7004,2022-04-22,,Pending
2001,3850,2022-05-30,2022-05-31,Rejected
2003,2408,2022-04-28,2022-05-10,Rejected
2003,3499,2022-06-09,,Pending
2004,1981,2022-04-21,2022-05-31,Accepted
2007,4534,2022-04-15,2022-05-13,Accepted
2009,4085,2022-04-19,,Pending
2011,4493,2022-05-03,2022-06-09,Accepted
2013,3581,2022-04-20,2022-05-19,Accepted
2014,1813,2022-05-09,2022-05-11,Rejected
2017,5554,2022-04-29,2022-05-26,Accepted
2018,6757,2022-04-20,2022-06-10,Rejected
2021,7129,2022-04-15,,Pending
2023,1994,2022-06-09,,Pending
2025,2917,2022-06-02,2022-06-03,Rejected
2030,2881,2022-05-17,2022-06-07,Accepted
2031,1990,2022-05-05,,Pending
2032,2797,2022-06-08,,Pending
2034,1075,2022-04-25,2022-05-23,Accepted
2034,6063,2022-04-18,2022-04-25,Rejected
2035,1179,2022-04-15,2022-04-25,Rejected
2035,3396,2022-05-09,2022-05-23,Rejected
2036,5769,2022-05-17,2022-05-26,Accepted
2037,4399,2022-05-04,,Pending
2038,7161,2022-04-25,2022-06-09,Accepted
2040,3564,2022-04-18,2022-04-28,Rejected
2041,4838,2022-04-19,2022-04-22,Rejected
2042,5964,2022-05-25,,Pending
2042,5980,2022-04-22,2022-04-29,Rejected
2042,7066,2022-05-06,2022-05-24,Rejected
2047,4133,2022-05-19,2022-05-20,Rejected
2048,1195,2022-05-10,2022-05-31,Accepted
2049,3152,2022-04-21,2022-05-27,Accepted
2055,6304,2022-05-06,2022-05-13,Accepted
2056,1431,2022-05-25,,Pending
2061,6026,2022-05-04,2022-05-31,Accepted
2062,18,2022-05-03,2022-06-07,Rejected
2065,3698,2022-04-26,2022-06-10,Accepted
2066,910,2022-05-31,2022-06-03,Accepted
2066,6474,2022-04-25,2022-05-31,Rejected
2069,4368,2022-04-19,2022-05-04,Accepted
2070,2913,2022-04-27,2022-05-12,Accepted
2071,6017,2022-05-25,,Pending
2072,3517,2022-04-20,,Pending
2073,3232,2022-04-21,2022-04-22,Accepted
2074,3109,2022-04-15,2022-06-03,Rejected
2076,930,2022-04-27,2022-05-27,Rejected
2079,49,2022-04-19,2022-05-05,Accepted
2080,3979,2022-05-18,,Pending
2082,1328,2022-05-04,2022-05-25,Rejected
2083,4803,2022-05-06,,Pending
2085,3836,2022-05-25,,Pending
2086,5872,2022-04-20,,Pending
2088,4017,2022-05-12,,Pending
2094,7079,2022-05-10,2022-05-18,Accepted
2095,1527,2022-04-15,,Pending
2096,5621,2022-04-21,2022-04-29,Accepted
2097,5992,2022-04-18,2022-04-19,Rejected
2099,1404,2022-04-19,2022-05-30,Accepted
2101,6691,2022-05-05,2022-05-31,Accepted
2107,6613,2022-04-20,2022-05-12,Rejected
2107,7323,2022-05-16,2022-05-23,Accepted
2109,3134,2022-04-19,2022-04-25,Accepted
2110,6621,2022-04-21,2022-05-06,Accepted
2111,2343,2022-04-15,2022-05-03,Rejected
2111,3087,2022-06-01,,Pending
2114,1064,2022-04-22,,Pending
2116,3189,2022-06-06,,Pending
2116,6749,2022-04-15,2022-04-21,Rejected
2121,1904,2022-04-18,2022-05-23,Accepted
2122,2587,2022-06-02,2022-06-10,Accepted
2123,2324,2022-05-18,2022-06-01,Rejected
2124,7257,2022-04-22,2022-06-09,Accepted
2126,3431,2022-05-19,2022-05-26,Accepted
2128,1557,2022-04-15,,Pending
2130,5544,2022-04-29,2022-06-13,Accepted
2131,3229,2022-04-18,2022-05-09,Accepted
2140,4679,2022-04-15,,Pending
2143,6678,2022-04-18,2022-05-02,Accepted
2144,4993,2022-06-14,,Pending
2145,6853,2022-04-19,2022-05-31,Accepted
2146,1025,2022-05-19,2022-06-08,Rejected
2148,2539,2022-04-15,2022-04-20,Rejected
2148,5924,2022-04-21,2022-04-25,Accepted
2150,1464,2022-04-21,2022-05-11,Rejected
2150,5431,2022-06-03,,Pending
2150,5830,2022-05-16,2022-05-19,Rejected
2151,6380,2022-05-05,2022-05-11,Accepted
2155,2455,2022-04-25,2022-06-07,Rejected
2156,5722,2022-05-12,2022-05-18,Rejected
2160,3796,2022-05-05,,Pending
2161,3379,2022-06-03,2022-06-06,Rejected
2161,3807,2022-04-18,2022-05-24,Rejected
2162,78,2022-04-25,2022-05-24,Accepted
2163,1726,2022-04-15,2022-05-04,Accepted
2167,6998,2022-04-26,2022-06-08,Accepted
2170,3641,2022-06-10,,Pending
2170,4991,2022-04-20,2022-05-06,Rejected
2171,5049,2022-04-15,2022-04-21,Accepted
2172,2787,2022-05-16,2022-06-09,Rejected
2173,2100,2022-04-29,2022-05-18,Accepted
2173,5884,2022-04-15,2022-04-21,Rejected
2175,5744,2022-04-18,,Pending
2176,6577,2022-05-06,2022-06-01,Accepted
2177,1792,2022-04-28,,Pending
2178,7154,2022-04-22,2022-05-20,Accepted
2179,1820,2022-04-15,2022-04-26,Accepted
2180,2664,2022-04-25,2022-06-01,Rejected
2186,5388,2022-05-12,2022-05-30,Rejected
2187,3765,2022-04-19,2022-04-20,Accepted
2190,3885,2022-05-02,2022-06-02,Rejected
2192,4805,2022-05-19,,Pending
2193,560,2022-04-15,2022-06-02,Accepted
2195,2409,2022-04-20,2022-06-13,Rejected
2196,5789,2022-04-27,,Pending
2198,5354,2022-04-19,2022-05-20,Accepted
2199,1599,2022-05-02,,Pending
2200,3827,2022-04-22,2022-04-25,Accepted
2201,61,2022-04-15,2022-06-02,Rejected
2208,3013,2022-05-03,2022-06-08,Accepted
2212,1539,2022-06-01,,Pending
2213,4989,2022-04-15,2022-04-20,Accepted
2214,5803,2022-05-06,,Pending
2214,7321,2022-04-21,2022-05-03,Rejected
2216,2605,2022-04-18,2022-05-16,Accepted
2220,5937,2022-04-26,,Pending
2221,3825,2022-04-21,2022-04-25,Rejected
2221,6880,2022-06-08,,Pending
2227,387,2022-04-15,2022-05-03,Rejected
2228,5578,2022-04-18,2022-05-24,Accepted
2229,2412,2022-06-06,,Pending
2230,6738,2022-04-15,2022-04-28,Accepted
2231,3467,2022-04-18,2022-05-18,Rejected
2232,5977,2022-04-19,2022-04-21,Accepted
2234,4951,2022-05-03,2022-05-11,Rejected
2235,3297,2022-04-25,2022-05-11,Rejected
2236,5050,2022-04-15,2022-04-26,Accepted
2239,2473,2022-05-13,2022-05-20,Accepted
2242,3550,2022-04-15,2022-05-25,Accepted
2243,1382,2022-04-27,2022-04-28,Accepted
2245,4022,2022-05-23,,Pending
2246,2876,2022-06-06,2022-06-07,Accepted
2249,3568,2022-04-29,2022-06-01,Rejected
2250,144,2022-04-20,2022-05-12,Rejected
2250,6574,2022-05-12,2022-05-19,Accepted
2251,80,2022-04-15,2022-05-04,Accepted
2254,5942,2022-04-15,2022-04-28,Accepted
2255,1150,2022-04-19,2022-04-27,Accepted
2258,665,2022-04-29,2022-05-04,Rejected
2258,6088,2022-05-05,2022-06-01,Rejected
2259,3418,2022-06-13,,Pending
2260,6025,2022-05-11,,Pending
2261,421,2022-05-25,,Pending
2262,6617,2022-04-27,,Pending
2264,6389,2022-04-22,2022-05-18,Rejected
2265,4786,2022-04-19,2022-04-20,Accepted
